replicate	MT	X	Y
hs_PB_proerythroblast_1	2080186	2216598	751
hs_PB_proerythroblast_2	1535828	1116172	25534
hs_PB_proerythroblast_3	897539	908921	16608
hs_PB_polychromatic_1	560475	2249441	245
hs_PB_polychromatic_2	500978	1026473	24673
hs_PB_polychromatic_3	349809	766599	12155
hs_PB_orthochromatic_1	254996	1400169	127
hs_PB_orthochromatic_2	189085	769326	15519
hs_PB_orthochromatic_3	184700	510709	8280
hs_PB_late_basophilic_1	1283325	1780893	409
hs_PB_late_basophilic_2	1041710	958350	19438
hs_PB_late_basophilic_3	1272429	831997	8376
hs_PB_early_basophilic_1	2711485	2149647	597
hs_PB_early_basophilic_2	1093867	781235	16442
hs_PB_early_basophilic_3	946118	737319	8707
hs_PB_CFU_1	2399550	1429793	6892
hs_PB_CFU_2	2424174	1284148	24497
hs_PB_CFU_3	925753	1226147	19314
hs_PB_CD34_1	5470757	1114916	15600
hs_PB_CD34_2	9714200	870229	12427
hs_PB_CD34_3	3577809	1043204	25715
hs_PB_BFU_1	11391289	622489	7474
hs_PB_BFU_2	23953420	381524	4765
hs_PB_BFU_3	12707628	310773	3746
hs_proerythroblast_1	5777479	4979031	823
hs_proerythroblast_2	581920	640834	63
hs_proerythroblast_3	1050144	881049	164
hs_polychromatic_1	2401077	4539478	385
hs_polychromatic_2	457278	678776	46
hs_polychromatic_3	445342	869306	65
hs_orthochromatic_1	1735241	4013521	167
hs_orthochromatic_2	197225	541514	10
hs_orthochromatic_3	317974	724454	38
hs_late_basophilic_1	4420334	5100090	676
hs_late_basophilic_2	1233661	832257	64
hs_late_basophilic_3	991382	878555	134
hs_early_basophilic_1	6692770	5835078	899
hs_early_basophilic_2	1072584	783165	77
hs_early_basophilic_3	1166444	902931	172
CB_CFU_1	2612220	2339567	31919
CB_CFU_2	2252886	2600603	52763
CB_CFU_3	2235618	2454309	9271
CB_CD34_1	3475608	2294339	42476
CB_CD34_2	2105693	2145305	56618
CB_CD34_3	2590746	2055192	15738
CB_BFU_1	2357517	2253047	28389
CB_BFU_2	2707618	2419697	42598
CB_BFU_3	2133645	2447087	12693
