file	name
hs_PB_proerythroblast_1	PB_proerythroblast_1
hs_PB_proerythroblast_2	PB_proerythroblast_2
hs_PB_proerythroblast_3	PB_proerythroblast_3
hs_PB_polychromatic_1	PB_polychromatic_1
hs_PB_polychromatic_2	PB_polychromatic_2
hs_PB_polychromatic_3	PB_polychromatic_3
hs_PB_orthochromatic_1	PB_orthochromatic_1
hs_PB_orthochromatic_2	PB_orthochromatic_2
hs_PB_orthochromatic_3	PB_orthochromatic_3
hs_PB_late_basophilic_1	PB_late_basophilic_1
hs_PB_late_basophilic_2	PB_late_basophilic_2
hs_PB_late_basophilic_3	PB_late_basophilic_3
hs_PB_early_basophilic_1	PB_early_basophilic_1
hs_PB_early_basophilic_2	PB_early_basophilic_2
hs_PB_early_basophilic_3	PB_early_basophilic_3
hs_PB_CFU_1	PB_CFU_1
hs_PB_CFU_2	PB_CFU_2
hs_PB_CFU_3	PB_CFU_3
hs_PB_CD34_1	PB_CD34_1
hs_PB_CD34_2	PB_CD34_2
hs_PB_CD34_3	PB_CD34_3
hs_PB_BFU_1	PB_BFU_1
hs_PB_BFU_2	PB_BFU_2
hs_PB_BFU_3	PB_BFU_3
hs_proerythroblast_1	CB_proerythroblast_1
hs_proerythroblast_2	CB_proerythroblast_2
hs_proerythroblast_3	CB_proerythroblast_3
hs_polychromatic_1	CB_polychromatic_1
hs_polychromatic_2	CB_polychromatic_2
hs_polychromatic_3	CB_polychromatic_3
hs_orthochromatic_1	CB_orthochromatic_1
hs_orthochromatic_2	CB_orthochromatic_2
hs_orthochromatic_3	CB_orthochromatic_3
hs_late_basophilic_1	CB_late_basophilic_1
hs_late_basophilic_2	CB_late_basophilic_2
hs_late_basophilic_3	CB_late_basophilic_3
hs_early_basophilic_1	CB_early_basophilic_1
hs_early_basophilic_2	CB_early_basophilic_2
hs_early_basophilic_3	CB_early_basophilic_3
CB_CFU_1	CB_CFU_1
CB_CFU_2	CB_CFU_2
CB_CFU_3	CB_CFU_3
CB_CD34_1	CB_CD34_1
CB_CD34_2	CB_CD34_2
CB_CD34_3	CB_CD34_3
CB_BFU_1	CB_BFU_1
CB_BFU_2	CB_BFU_2
CB_BFU_3	CB_BFU_3
